"Pompprijzen motorbrandstoffen; brandstofsoort, per dag"
""
"";"Onderwerp"
"";"Benzine Euro95";"Diesel";"Lpg"
"Perioden";"euro/liter";"euro/liter";"euro/liter"
"2023 donderdag 31 augustus";"2,105";"1,857";"0,752"
"2023 vrijdag 1 september";"2,105";"1,854";"0,751"
"2023 zaterdag 2 september";"2,103";"1,854";"0,751"
"2023 zondag 3 september";"2,103";"1,852";"0,751"
"2023 maandag 4 september";"2,107";"1,858";"0,749"
"2023 dinsdag 5 september";"2,106";"1,856";"0,752"
"2023 woensdag 6 september";"2,101";"1,856";"0,754"
"2023 donderdag 7 september";"2,097";"1,861";"0,751"
"2023 vrijdag 8 september";"2,096";"1,864";"0,761"
"2023 zaterdag 9 september";"2,101";"1,875";"0,761"
"2023 zondag 10 september";"2,104";"1,877";"0,756"
"2023 maandag 11 september";"2,105";"1,885";"0,753"
"2023 dinsdag 12 september";"2,113";"1,905";"0,762"
"2023 woensdag 13 september";"2,119";"1,918";"0,765"
"2023 donderdag 14 september";"2,126";"1,931";"0,777"
"2023 vrijdag 15 september";"2,131";"1,942";"0,783"
"2023 zaterdag 16 september";"2,135";"1,948";"0,787"
"2023 zondag 17 september";"2,136";"1,951";"0,783"
"2023 maandag 18 september";"2,139";"1,957";"0,787"
"2023 dinsdag 19 september";"2,141";"1,958";"0,794"
"2023 woensdag 20 september";"2,140";"1,953";"0,799"
"2023 donderdag 21 september";"2,137";"1,954";"0,790"
"2023 vrijdag 22 september";"2,132";"1,951";"0,796"
"2023 zaterdag 23 september";"2,127";"1,947";"0,803"
"2023 zondag 24 september";"2,126";"1,947";"0,798"
"2023 maandag 25 september";"2,129";"1,951";"0,793"
"2023 dinsdag 26 september";"2,124";"1,945";"0,801"
"2023 woensdag 27 september";"2,115";"1,940";"0,797"
"2023 donderdag 28 september";"2,114";"1,938";"0,797"
"2023 vrijdag 29 september";"2,112";"1,936";"0,799"
"2023 zaterdag 30 september";"2,102";"1,932";"0,798"
"2023 zondag 1 oktober";"2,104";"1,933";"0,794"
"2023 maandag 2 oktober";"2,104";"1,936";"0,809"
"Bron: CBS, Travelcard BV"
