"Perioden";"Dieselolie (euro/100 liter)"
"1980";"   43.94"
"1981";"   51.50"
"1982";"   54.29"
"1983";"   51.96"
"1984";"   55.18"
"1985";"   57.07"
"1986";"   39.19"
"1987";"   40.76"
"1988";"   38.35"
"1989";"   41.49"
"1990";"   49.92"
"1991";"   52.49"
"1992";"   52.13"
"1993";"   58.07"
"1994";"   60.53"
"1995";"   60.35"
"1996";"   65.07"
"1997";"   68.12"
"1998";"   64.99"
"1999";"   69.49"
"2000";"   84.50"
"2001";"   82.30"
"2002";"   78.80"
"2003";"   79.47"
"2004";"   88.93"
"2005";"  102.40"
"2006";"  108.72"
"2007";"  109.80"
"2008";"  128.65"
"2009";"   99.90"
